R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major,R,I,A,S,E,C,cluster
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,4,1,1,1,2,1,1,3,3,1,2,6,5,5,5,3,2,5,3,5,6,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,3,2,2,16,1,4,1,4,2,1,2,civil engineering,8,8,10,10,14,14,4
1,1,3,1,1,1,1,1,3,1,3,4,3,3,3,2,1,1,2,3,1,2,1,1,2,3,3,1,3,1,2,2,1,1,2,1,3,1,2,1,1,1,1,1,3,1,1,1,6,5,4,3,5,2,2,1,5,3,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,16,2,8,1,1,2,1,2,civil engineering,10,22,12,17,12,10,4
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,6,1,3,2,3,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,3,3,1,1,54,2,0,0,0,1,1,0,civil engineering,16,16,16,16,16,16,4
1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,4,1,1,3,1,1,1,1,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,3,6,5,5,2,3,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,2,1,23,1,4,1,1,1,1,3,civil engineering,11,8,17,15,8,8,4
3,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,2,4,1,3,3,1,2,1,1,1,2,3,4,2,1,1,1,1,1,3,3,3,1,3,4,5,6,2,5,6,5,3,6,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,2,33,2,2,2,4,1,1,4,civil engineering,12,9,12,17,15,16,4
1,3,1,3,1,3,0,1,1,2,2,1,1,2,1,1,1,2,2,4,3,3,4,1,1,3,2,2,3,3,3,3,3,3,1,2,2,3,1,3,3,2,1,1,1,3,1,1,0,3,4,1,4,5,4,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,14,1,4,0,5,2,1,2,civil engineering,13,11,20,20,18,13,4
4,1,5,5,5,1,2,2,1,1,1,2,2,5,2,2,1,1,1,1,1,5,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,2,4,4,7,6,6,7,6,6,7,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,2,17,1,4,4,5,2,1,2,civil engineering,25,16,12,11,11,12,4
3,2,1,4,3,1,3,2,1,2,1,2,1,3,1,4,1,1,1,1,1,1,5,1,1,1,1,4,1,1,1,1,3,1,1,1,4,1,3,1,1,2,2,1,1,1,1,1,7,4,3,2,6,4,5,5,7,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,17,1,4,1,4,2,1,2,civil engineering,19,15,12,11,15,10,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,7,1,6,5,5,1,7,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,2,3,1,2,17,1,4,1,1,2,1,4,civil engineering,8,8,8,8,8,8,4
1,1,1,1,1,1,1,1,3,1,2,3,2,2,2,1,0,3,4,1,3,1,1,3,3,3,3,1,1,2,2,1,2,1,2,1,3,2,1,1,1,1,1,1,2,1,1,1,7,7,3,5,6,1,4,5,3,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,4,2,1,2,23,1,6,2,1,1,1,4,civil engineering,8,16,16,16,13,9,4
2,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,3,1,1,1,1,2,1,1,1,4,1,3,1,3,2,3,1,1,1,1,1,6,4,7,6,6,2,4,2,7,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,18,2,4,1,4,2,1,0,civil engineering,11,9,12,10,14,13,4
2,3,3,2,1,1,1,2,4,2,3,1,2,3,2,3,1,1,3,2,1,5,4,1,1,2,1,2,2,2,2,1,1,1,2,1,4,1,1,3,3,2,2,2,2,2,2,3,3,5,4,5,2,5,6,3,4,4,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,2,2,1,1,20,1,7,1,4,2,1,3,civil engineering,15,20,18,13,14,18,4
4,2,1,2,1,3,3,2,2,1,1,1,1,1,1,1,2,1,3,1,2,3,1,3,3,2,3,3,4,2,1,3,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,6,1,1,6,7,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,3,1,2,15,1,3,4,1,2,1,4,civil engineering,18,9,16,21,9,10,4
3,3,1,3,3,3,2,2,1,4,3,1,2,3,1,2,1,1,1,1,1,1,1,1,1,5,2,4,2,1,3,3,1,1,2,1,1,1,1,2,1,3,1,2,1,3,1,1,3,2,6,2,4,7,6,6,7,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,1,19,1,7,1,3,2,1,4,civil engineering,20,17,8,21,10,13,4
1,1,5,4,3,1,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,3,1,1,1,3,1,4,1,1,1,4,1,1,1,1,1,1,0,1,1,5,1,6,1,7,5,1,1,6,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,1,2,17,1,4,0,5,2,1,3,civil engineering,20,10,8,16,16,7,4
1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,4,2,5,3,1,2,5,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,5,7,7,5,7,5,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,2,43,1,2,1,4,2,2,1,civil engineering,10,10,19,17,8,8,4
3,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,2,1,1,4,1,1,2,5,5,3,1,1,1,2,1,4,1,3,1,1,1,2,4,3,1,2,2,1,6,3,5,5,5,2,6,5,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,4,1,2,2,26,1,8,3,1,1,2,2,civil engineering,10,12,11,22,14,15,4
1,1,1,1,3,1,1,1,5,1,1,3,3,1,1,3,1,1,3,1,1,1,1,1,3,3,3,5,1,3,3,1,3,3,3,3,3,3,3,1,1,1,1,3,1,3,1,1,5,3,5,5,5,3,3,3,3,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,1,19,2,6,1,4,2,1,3,civil engineering,10,18,10,22,22,12,4
3,3,1,2,3,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,4,4,1,5,1,4,1,4,3,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,5,4,3,5,5,2,6,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,1,1,20,1,0,0,0,1,1,2,civil engineering,17,9,10,24,11,10,4
3,1,2,3,1,1,1,1,1,3,3,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,3,4,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,4,3,1,4,2,5,4,5,1,5,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,2,1,2,17,1,10,0,5,2,1,3,civil engineering,13,15,10,14,10,13,4
1,1,2,1,1,1,1,1,4,4,3,1,1,4,1,1,2,3,3,3,3,3,4,4,2,3,2,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,7,4,6,3,7,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,1,2,28,1,12,1,4,1,2,3,civil engineering,9,19,25,16,9,8,4
2,3,1,2,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,2,4,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,4,5,4,2,6,4,6,4,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,13,2,12,1,4,2,1,4,civil engineering,20,8,10,16,10,8,4
5,1,1,2,1,1,1,1,3,1,1,3,3,1,3,1,3,1,1,1,2,3,2,1,1,3,2,1,3,1,1,1,4,1,1,1,3,1,1,1,2,2,1,2,4,3,3,2,7,5,7,7,6,4,3,1,6,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,1,1,22,1,4,1,4,1,1,1,civil engineering,13,16,14,13,13,19,4
1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,3,1,4,1,3,3,1,1,2,1,1,1,2,1,4,1,2,5,1,1,1,1,5,4,7,6,1,3,6,5,7,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3,1,1,14,1,12,5,4,2,1,1,civil engineering,10,9,10,18,10,16,4
1,2,1,1,3,5,5,3,2,2,1,1,1,1,1,1,3,1,1,1,1,3,1,1,5,1,1,1,5,1,1,1,4,1,1,1,5,1,1,1,2,1,1,1,4,1,1,2,5,5,3,5,6,1,5,3,6,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,1,2,38,2,10,5,2,1,2,4,civil engineering,21,10,12,16,15,13,4
3,4,5,2,3,3,4,4,4,3,5,4,5,2,3,3,4,4,5,1,1,5,3,4,3,5,5,4,3,5,4,3,5,4,5,4,4,3,5,2,2,4,2,2,2,2,3,3,5,2,4,3,4,5,4,5,6,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,4,3,2,2,21,1,1,1,1,2,1,3,commerce,28,29,27,32,32,20,13
1,4,3,3,3,3,2,4,5,5,4,3,3,3,2,3,3,2,4,3,2,4,4,3,5,3,4,5,5,5,5,3,2,1,5,3,3,4,2,4,1,1,1,1,3,3,1,1,2,1,1,4,6,5,7,6,6,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,1,2,27,1,12,1,4,2,1,4,commerce,23,28,25,35,24,12,13
2,5,2,2,3,3,3,5,4,4,3,3,2,3,4,5,4,4,4,4,4,5,3,5,4,4,4,4,4,5,4,4,3,4,4,3,2,4,3,4,3,3,2,3,2,4,4,2,6,3,2,5,6,4,6,6,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,4,3,2,2,22,1,4,1,1,2,1,2,commerce,25,28,33,33,27,23,13
5,5,4,4,4,3,3,3,5,5,4,1,4,4,3,4,1,5,5,1,1,4,4,4,4,4,1,4,4,4,4,3,4,4,4,1,5,4,4,4,3,1,2,3,1,5,4,1,6,5,6,6,4,1,3,5,6,3,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,2,1,2,21,1,8,2,1,1,1,2,commerce,31,30,25,28,30,20,13
2,4,4,2,3,2,3,3,3,5,1,3,2,3,4,4,2,4,4,4,1,5,5,3,3,3,5,2,5,1,5,3,2,2,4,5,4,2,3,3,3,3,3,4,3,3,2,3,2,3,6,4,7,1,5,5,6,4,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,3,3,1,1,23,1,8,1,1,2,1,3,commerce,23,25,28,27,25,24,13
4,4,4,3,3,4,4,4,5,4,2,4,2,2,2,1,4,3,3,4,3,4,4,3,5,5,1,2,4,3,5,3,3,1,4,3,1,1,4,2,2,4,2,4,1,3,4,1,4,5,6,5,6,5,7,2,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,2,2,1,30,1,1,1,4,1,1,2,commerce,30,22,28,28,19,21,13
3,5,2,1,3,4,3,1,4,5,2,1,2,4,2,2,4,5,2,5,4,4,4,2,5,5,4,3,5,3,4,5,4,5,5,3,5,3,3,3,3,5,3,4,5,2,4,3,7,6,6,4,3,1,7,4,2,6,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,4,3,2,2,25,1,6,1,1,2,1,3,commerce,22,22,30,34,31,29,13
2,4,2,3,3,4,2,4,1,4,3,4,2,4,2,4,1,2,4,2,2,3,4,4,3,3,2,4,1,3,4,2,3,4,4,4,2,3,4,5,3,4,3,3,4,4,2,3,5,3,3,3,5,5,4,5,5,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,1,33,1,3,2,1,2,1,2,commerce,24,24,22,22,29,26,13
4,5,3,3,4,3,5,5,1,4,2,1,1,1,1,1,1,3,5,1,2,2,3,5,5,5,4,4,4,1,3,4,3,3,5,5,3,5,5,5,3,4,3,3,1,2,4,2,5,1,6,2,5,5,5,2,6,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,1,35,1,2,1,1,2,2,2,commerce,32,12,22,30,34,22,13
3,2,1,4,2,4,3,1,4,5,4,3,3,4,3,3,3,3,3,4,4,4,4,2,4,3,4,5,5,4,5,3,4,1,2,2,4,2,2,4,1,1,1,3,1,4,1,2,5,2,2,1,6,6,7,5,6,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,1,1,1,22,2,4,1,4,1,1,1,commerce,20,29,27,33,21,14,13
4,1,3,4,2,3,2,1,1,3,3,3,3,3,3,3,3,5,4,5,5,3,4,5,5,3,3,5,4,1,2,1,5,4,5,3,5,4,2,4,2,4,4,4,5,3,2,4,4,6,5,4,6,7,5,2,7,4,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,2,3,1,2,20,1,2,1,1,2,1,1,commerce,20,22,34,24,32,28,13
5,3,1,2,2,2,2,2,4,4,3,2,2,3,2,2,4,5,1,4,5,5,5,3,4,4,3,5,4,3,5,1,4,3,2,3,3,2,4,3,2,3,2,2,3,3,2,1,4,5,4,5,4,7,5,5,5,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,1,22,1,6,1,1,2,1,3,commerce,19,22,32,29,24,18,13
4,2,2,3,2,4,4,2,3,3,2,4,2,3,2,4,2,4,4,3,4,4,2,4,5,5,4,4,4,4,4,3,4,5,3,3,3,4,4,4,3,2,2,2,2,3,3,2,6,6,5,3,4,5,6,2,4,5,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,4,3,2,1,40,1,8,1,1,1,2,1,commerce,23,23,27,33,30,19,13
4,1,1,1,3,1,2,1,5,5,5,1,5,3,2,1,3,5,4,4,4,4,2,2,5,0,5,5,5,2,2,2,4,4,4,3,4,2,3,2,2,3,1,3,2,2,1,2,6,5,5,7,5,3,5,4,4,3,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,3,2,2,1,22,1,8,1,1,2,1,2,commerce,14,27,28,26,26,16,13
5,2,2,1,3,4,1,4,5,4,4,5,5,2,4,2,2,2,5,4,2,5,2,4,4,2,4,5,5,2,4,2,1,4,5,4,4,5,5,2,2,2,1,3,2,4,2,2,1,5,1,1,5,1,6,1,4,7,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,3,2,1,50,1,6,1,4,1,2,3,commerce,22,31,26,28,30,18,13
4,4,2,4,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,4,3,3,3,4,2,3,2,3,5,6,5,5,5,3,5,4,4,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,1,1,22,1,3,1,1,2,1,2,commerce,26,31,27,31,29,23,13
2,4,3,4,3,4,1,2,2,5,5,3,4,2,1,5,4,5,4,5,5,5,4,5,3,4,5,5,5,3,5,5,5,3,2,1,3,1,5,5,2,1,2,1,2,1,2,1,5,2,1,2,7,5,6,7,6,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,3,1,2,24,1,1,1,1,2,1,1,commerce,23,27,37,35,25,12,13
3,2,1,2,2,2,2,3,4,4,4,3,2,2,2,1,5,5,3,4,4,5,5,5,4,5,4,4,4,5,5,5,1,5,4,4,4,5,3,3,3,4,2,3,3,2,2,2,7,6,5,7,7,2,5,3,3,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,1,25,1,2,1,4,2,1,3,commerce,17,22,36,36,29,21,13
1,1,2,3,1,2,1,1,3,4,1,2,1,1,1,1,1,3,3,1,2,4,4,4,5,5,4,4,4,5,5,5,2,4,5,2,5,5,2,5,3,3,2,4,2,3,4,3,7,5,7,6,7,3,6,2,5,2,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,3,1,2,1,31,1,4,1,4,1,2,3,communication,12,14,22,37,30,24,9
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,2,4,4,2,5,3,4,4,2,3,1,1,1,1,4,2,4,2,3,4,2,1,2,1,2,1,1,2,2,7,3,2,5,6,1,7,6,2,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,2,1,19,1,7,3,4,2,1,2,communication,8,8,29,19,22,12,35
3,1,1,1,1,1,1,1,3,1,1,3,1,3,1,1,1,1,5,4,3,2,1,1,2,1,2,2,2,1,1,1,3,1,5,1,5,2,1,4,1,1,2,1,4,4,1,2,4,1,6,5,5,5,7,2,4,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,2,1,1,37,1,12,1,4,2,2,4,communication,10,14,18,12,22,16,1
1,1,1,2,1,1,1,1,2,4,1,2,1,3,1,1,2,4,3,5,5,4,1,3,4,3,4,3,4,3,3,1,1,1,2,2,2,3,2,2,1,1,2,1,1,1,2,1,4,5,5,2,5,4,4,4,6,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,2,2,1,26,1,7,1,5,1,1,3,communication,9,15,27,25,15,10,35
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,3,4,3,4,5,3,3,2,2,3,3,3,1,2,1,3,2,1,2,3,0,1,1,1,1,1,1,1,1,7,3,6,3,5,3,7,3,7,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,2,2,1,22,1,4,1,4,1,1,3,communication,8,8,32,20,14,8,35
3,1,1,1,1,2,1,1,3,2,1,2,2,4,1,2,1,3,2,3,2,3,1,1,4,4,4,2,5,3,4,4,2,4,4,2,5,3,4,2,3,3,1,3,2,2,2,3,6,2,6,5,6,3,6,4,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,1,21,1,1,1,4,2,1,2,communication,11,17,16,30,26,19,9
3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,1,1,1,1,1,2,4,3,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,1,2,1,2,6,2,0,1,7,3,6,1,7,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,2,2,28,1,7,1,5,1,2,0,communication,11,9,12,19,16,14,1
1,1,1,1,1,1,1,1,1,3,3,1,1,2,1,1,2,2,5,2,3,2,2,1,2,5,3,2,2,3,2,2,1,2,3,1,4,2,3,1,1,1,3,2,3,3,3,1,4,3,6,3,7,2,7,1,6,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,24,1,7,1,5,2,1,2,communication,8,13,19,21,17,17,1
2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,4,5,4,4,5,4,5,3,3,2,3,2,4,3,1,1,1,3,2,1,3,1,1,1,1,1,1,1,1,1,1,3,2,5,7,7,7,6,4,5,4,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,3,2,1,18,2,1,1,1,2,1,2,communication,12,8,34,21,13,8,35
1,1,1,1,1,1,1,1,4,2,3,1,3,3,3,3,3,5,4,4,5,4,5,4,3,3,2,1,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,7,5,7,3,7,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,3,3,1,1,25,2,6,1,3,2,1,2,communication,8,22,34,17,9,8,35
2,1,1,1,1,1,1,1,2,1,2,1,3,2,2,2,2,3,3,4,2,2,5,3,2,2,2,3,3,2,2,2,2,1,1,2,2,1,4,2,3,2,1,2,1,1,2,2,7,6,7,4,6,1,4,2,6,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,3,3,2,1,22,1,7,1,3,2,1,2,communication,9,15,24,18,15,14,1
1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,5,1,3,1,5,1,5,1,1,1,1,1,1,1,1,1,1,7,2,6,5,7,1,7,1,3,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,19,1,12,1,5,2,1,3,communication,10,8,36,32,18,8,35
1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,5,5,3,4,5,5,4,5,5,4,1,5,1,3,3,1,1,2,2,1,3,1,2,2,1,1,1,1,1,1,1,1,7,1,7,3,7,3,7,1,4,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,4,1,1,1,36,1,1,3,4,1,1,2,communication,8,11,36,23,14,8,35
1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,5,5,5,4,5,5,5,3,3,3,3,3,1,1,3,1,1,4,1,3,1,1,3,1,1,1,1,1,1,1,1,5,7,6,6,7,3,2,3,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,1,1,40,1,4,1,4,2,1,3,communication,8,13,35,20,15,8,35
3,3,3,2,2,2,1,3,3,2,1,2,2,4,1,2,3,2,4,4,3,5,5,5,3,5,3,5,4,5,3,5,2,3,4,3,3,4,3,5,2,1,2,4,1,1,2,2,7,5,6,5,7,2,6,4,5,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,3,2,1,25,1,6,1,3,2,1,3,communication,19,17,31,33,27,15,9
1,1,1,1,1,1,1,1,3,2,1,2,2,2,2,1,1,2,4,3,3,2,2,3,2,3,3,1,1,2,2,2,3,3,2,1,3,2,2,1,2,1,1,1,1,1,2,1,7,2,6,5,6,3,5,1,4,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,24,1,4,1,4,2,1,5,communication,8,15,20,16,17,10,1
1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,4,2,1,1,3,3,2,4,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,3,7,5,5,1,4,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,1,18,1,9,1,3,2,1,2,communication,8,9,19,13,11,9,1
3,3,1,3,1,2,2,2,5,3,2,3,3,3,1,2,3,3,4,2,1,2,3,4,5,5,5,4,5,2,4,3,1,2,5,3,2,3,3,3,1,2,1,3,3,3,1,1,7,4,6,2,7,3,6,4,6,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,3,2,2,1,24,1,4,1,4,1,1,2,communication,17,22,22,33,22,15,9
1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,5,5,3,5,3,3,5,5,5,2,5,3,3,3,4,3,3,4,5,3,5,3,5,1,1,1,1,1,1,1,1,5,3,6,5,6,5,4,5,3,6,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,1,33,1,6,1,1,1,2,2,communication,8,10,32,30,31,8,9
1,1,1,2,1,1,2,1,4,2,1,4,1,1,1,1,2,4,4,2,4,4,4,4,5,4,5,5,5,4,5,2,3,3,4,4,5,4,4,4,1,1,2,2,1,3,1,1,7,5,7,5,7,2,7,2,6,4,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,3,3,2,1,24,1,9,1,4,1,1,4,communication,10,15,28,35,31,12,9
2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,4,4,5,5,2,2,4,2,4,2,2,2,1,1,1,1,2,5,1,4,1,1,1,1,2,1,2,1,1,1,1,1,2,6,3,6,6,5,2,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,1,1,33,1,1,3,4,1,1,2,communication,9,11,27,15,16,10,1
3,1,2,1,1,1,1,2,3,1,2,1,1,1,1,2,1,3,3,3,4,2,3,5,3,4,1,1,4,4,4,3,1,4,1,4,1,5,2,3,1,1,1,2,1,1,2,2,7,3,5,5,7,1,7,5,3,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,2,2,2,1,20,2,4,1,3,2,1,3,communication,12,12,24,24,21,11,35
1,3,1,3,2,1,1,1,1,2,1,1,1,1,1,2,1,1,3,1,1,2,1,1,2,3,1,1,2,2,2,2,3,4,3,1,3,3,3,2,2,2,2,1,3,2,1,1,5,2,7,1,6,1,5,1,6,2,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,3,2,1,1,61,1,6,1,4,2,2,3,communication,13,10,11,15,22,14,1
2,2,2,1,1,1,2,1,2,2,2,4,2,2,2,2,5,5,5,4,5,5,5,5,4,4,3,3,3,3,2,2,3,1,3,3,3,2,1,3,1,1,1,1,1,2,1,1,4,5,5,7,7,4,4,6,3,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,1,28,1,1,2,1,1,1,3,communication,12,18,39,24,19,9,35
1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,2,1,2,3,1,1,3,2,1,0,3,2,1,3,3,3,1,5,4,1,1,2,3,2,4,1,3,1,2,6,5,2,1,5,4,6,2,5,2,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,4,1,2,2,23,1,4,1,4,1,1,2,communication,8,9,15,13,21,18,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,1,1,1,1,4,4,5,5,4,4,1,4,4,5,5,5,5,5,1,2,2,2,2,1,2,2,1,7,5,7,5,6,1,7,1,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,2,1,27,1,7,1,4,2,1,4,communication,8,8,19,28,34,14,9
4,1,1,1,1,1,1,1,1,5,4,1,1,1,1,1,1,1,5,4,5,1,1,1,4,4,1,1,1,1,1,1,3,4,4,1,5,4,5,1,1,1,1,1,1,1,1,1,7,3,5,5,7,1,2,3,3,2,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,3,2,2,1,21,1,4,1,4,1,1,2,communication,11,15,19,14,27,8,1
2,1,1,1,1,2,1,2,3,3,1,2,1,3,1,3,4,2,3,3,3,5,4,4,3,5,4,3,5,4,4,4,3,4,4,5,3,5,4,4,2,3,3,3,2,2,3,3,6,2,7,7,7,5,7,2,6,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,2,2,1,31,1,6,1,4,2,1,2,communication,11,17,28,32,32,21,9
